open:开,打开,开启,开动,启动,开起
close:关,关闭,合上,关掉,停用
adjust:调节,调整,调校,调暗,调亮
clean:清洁,打扫,清理
cook:煮,烹饪,做菜
wash:洗,洗涤,清洗
dry:干,烘干,晾干
iron:熨,熨烫,熨平
charge:充电,充能,充电中
translate:翻译,翻译成
play:播放,开启播放,启动音乐,播放歌曲,播放视频
pause:暂停,中断播放,停止音乐,暂停视频
stop:停止,结束播放,关闭音乐,停止视频
volume_up:调高音量,增大声音,提高音量
volume_down:调低音量,减小声音,降低音量
mute:静音,关闭声音,静音模式
unmute:取消静音,开启声音,解除静音
skip:跳过,跳到下一首,跳到下一个
shuffle:随机播放,开启随机,随机音乐
repeat:重复播放,循环播放,单曲循环
set_alarm:设定闹钟,设置提醒,设定时间
snooze:贪睡,延时闹钟,再睡一会儿
dismiss_alarm:关闭闹钟,取消提醒,停止闹钟
timer:计时,设定计时器,计时开始
cancel_timer:取消计时,停止计时器,计时结束
answer_call:接听电话,接电话,电话接听
hang_up_call:挂断电话,结束通话,挂电话
make_call:拨打电话,打电话,呼叫
send_message:发送信息,发消息,信息发送
read_news:读新闻,播报新闻,新闻摘要
check_weather:查看天气,播报天气,天气情况
play_game:玩游戏,启动游戏,游戏开始
order_food:点餐,订外卖,订餐服务
set_reminder:设定提醒,设置备忘,提醒事项
find_phone:找手机,定位手机,手机寻找
navigate:导航,路线规划,指引方向
control_lights:控制灯光,灯光调节,灯光开关
lock_door:锁门,上锁,门锁控制
unlock_door:解锁门,开锁,门锁开启
monitor_camera:监控摄像头,查看监控,摄像头控制
play_podcast:播放播客,启动播客,播客节目
schedule_meeting:安排会议,设定日程,会议计划
control_thermostat:调节温度,控制恒温器,温度设置
check_calendar:查看日历,日程查看,日历事件
find_recipe:查找食谱,搜索菜谱,食谱推荐
book_flight:预订机票,机票预订,航班预订
schedule_ride:预约车辆,安排出行,车辆调度
manage_todo_list:管理待办事项,待办列表,任务管理
control_tv:控制电视,电视操作,电视开关
play_music:播放音乐,启动音乐,音乐播放
set_sleep_mode:设置睡眠模式,睡眠设置,夜间模式
update_software:更新软件,系统更新,软件升级
control_curtains:控制窗帘,窗帘开关,窗帘调节
manage_smart_home:管理智能家居,家居控制,智能设备管理
control_climate:控制气候,调节环境,气候调节
check_finance:查看财务,财务状况,金融信息
set_education_mode:设置教育模式,学习模式,教育设置
monitor_health:监测健康,健康检查,健康数据
play_audiobook:播放有声书,启动有声书,有声书播放
control_robot_vacuum:控制扫地机器人,机器人清洁,机器人开关
set_privacy_mode:设置隐私模式,隐私设置,隐私保护
manage_notifications:管理通知,通知控制,通知管理
play_radio:播放电台,启动电台,电台节目
set_maintenance_mode:设置维护模式,维护设置,维护计划
control_security_system:控制安全系统,安全控制,安全监控
play_movie:播放电影,启动电影,电影播放
set_travel_mode:设置旅行模式,旅行设置,旅行计划
manage_contacts:管理联系人,联系人列表,联系人管理
play_music_playlist:播放音乐播放列表,启动播放列表,播放列表
set_baby_monitor_mode:设置婴儿监控模式,婴儿监控,监控设置
